,Age,DailyAchievement,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyAchievement,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyAchievement,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Incentive,RemoteWork
54,27,1240,2,4,4,33,3,1,1,2341,19715,1,7,1,4,1,1,6,3,1,0,0,0,0,1
55,59,1435,25,3,1,99,3,3,1,7637,2354,7,5,1,4,0,28,3,2,21,16,7,9,0,3
56,59,1225,1,1,1,57,2,2,3,5473,24668,7,5,1,4,0,20,2,2,4,3,1,3,0,1
57,60,422,7,3,1,41,3,5,1,19566,3854,5,5,1,4,0,33,5,1,29,8,11,10,0,0
58,33,1392,3,4,4,56,3,1,3,2909,23159,1,5,1,3,0,8,3,3,8,7,3,0,0,2
59,34,1346,19,2,2,93,3,1,4,2661,8758,0,5,1,3,1,3,2,3,2,2,1,2,0,3
60,29,1389,21,4,2,51,4,3,1,9980,10195,1,5,1,3,1,10,1,3,10,9,8,8,0,2
61,38,371,2,3,4,45,3,1,4,3944,4306,5,5,1,3,0,6,3,3,3,2,1,2,0,2
62,34,419,7,4,1,53,3,3,2,11994,21293,0,5,1,3,0,13,4,3,12,6,2,11,0,1
63,31,542,20,3,2,71,1,2,3,4559,24788,3,5,1,3,1,4,2,3,2,2,2,2,0,4
64,30,111,9,3,3,66,3,2,1,3072,11012,1,5,1,3,2,12,4,3,12,9,6,10,0,1
65,35,138,2,3,2,37,3,2,2,4425,15986,5,5,1,4,0,10,5,3,6,2,1,2,0,0
66,32,1045,4,4,4,32,1,3,4,10400,25812,1,5,1,3,0,14,2,2,14,8,9,8,0,3
67,30,1005,3,3,4,88,3,1,1,2657,8556,5,5,1,3,0,8,5,3,5,2,0,4,0,1
68,32,1401,4,2,3,56,3,1,2,3931,20990,2,5,1,1,1,6,5,3,4,3,1,2,0,2
69,37,504,10,3,1,61,3,3,3,10048,22573,6,5,1,2,2,17,5,3,1,0,0,0,0,2
70,31,307,29,2,3,71,2,1,2,3479,11652,0,5,1,2,0,6,2,4,5,4,1,4,0,4
71,36,1403,6,3,4,47,3,1,4,3210,20251,0,5,1,3,1,16,4,3,15,13,10,11,0,2
72,31,218,7,3,2,100,4,2,4,6929,12241,4,5,1,2,1,10,3,2,8,7,7,7,0,3
73,33,553,5,4,4,74,3,3,2,11878,23364,6,5,1,2,2,12,2,3,10,6,8,8,0,0
74,32,588,8,2,3,65,2,2,2,5228,24624,1,5,1,4,0,13,2,3,13,12,11,9,0,3
75,29,318,8,4,2,77,1,1,1,2119,4759,1,5,1,4,0,7,4,2,7,7,0,7,0,1
76,36,541,3,4,1,48,2,3,4,9699,7246,4,5,1,1,1,16,2,3,13,9,1,12,0,3
77,30,1082,12,3,2,83,3,2,3,6577,19558,0,5,1,2,0,6,6,3,5,4,4,4,0,2
78,30,1398,22,4,3,69,3,3,1,8412,2890,0,5,1,3,0,10,3,3,9,8,7,8,0,3
79,37,558,2,3,4,75,3,2,3,9602,3010,4,5,1,3,1,17,3,2,3,0,1,0,0,2
80,36,913,9,2,2,48,2,2,2,8847,13934,2,5,1,3,1,13,2,3,3,2,0,2,0,2
81,29,1396,10,3,3,99,3,1,3,2642,2755,1,5,1,3,0,1,6,3,1,0,0,0,0,3
82,35,1225,2,4,4,61,3,2,1,5093,4761,2,5,1,1,1,16,2,4,1,0,0,0,0,0
83,34,121,2,4,3,86,2,1,1,4381,7530,1,5,1,3,0,6,3,3,6,5,1,3,0,2
84,33,213,7,3,3,49,3,3,3,11691,25995,0,5,1,4,0,14,3,4,13,9,3,7,0,3
85,35,1343,27,1,3,53,2,1,1,2559,17852,1,5,1,4,0,6,3,2,6,5,1,1,0,4
86,32,117,13,4,2,73,3,2,4,4403,9250,2,5,1,3,1,8,3,2,5,2,0,3,0,4
87,33,1075,3,2,4,57,3,1,2,2277,22650,3,5,1,3,1,7,4,4,4,3,0,3,0,1
88,36,530,3,1,3,51,2,3,4,10325,5518,1,5,1,1,1,16,6,3,16,7,3,7,0,2
89,37,625,1,4,1,46,2,3,3,10609,14922,5,5,1,3,0,17,2,1,14,1,11,7,0,1
90,30,231,8,2,3,62,3,3,3,7264,9977,5,5,1,1,1,10,2,4,8,4,7,7,0,3
91,33,722,17,3,4,38,3,4,3,17444,20489,1,5,1,4,0,10,2,3,10,8,6,0,0,4
92,30,138,22,3,1,48,3,1,3,2132,11539,4,5,1,2,0,7,2,3,5,2,0,1,0,3
93,34,216,1,4,2,75,4,2,4,9725,12278,0,5,1,4,1,16,2,2,15,1,0,9,0,3
94,35,1182,11,2,4,54,3,2,4,4968,18500,1,5,1,4,1,5,3,3,5,2,0,2,0,3
95,34,1003,2,2,4,95,3,2,3,4033,15834,2,5,1,4,0,5,3,2,3,2,0,2,0,1
96,35,1212,8,2,3,78,2,3,4,10377,13755,4,5,1,2,1,16,6,2,13,2,4,12,0,4
97,29,1329,7,3,3,82,3,2,4,6623,4204,1,5,1,2,2,6,2,3,6,0,1,0,0,1
98,34,648,11,3,3,56,2,2,2,4490,21833,4,5,1,4,2,14,5,4,10,9,1,8,0,2
99,36,429,2,4,3,53,3,2,2,5410,2323,9,5,1,4,0,18,2,3,16,14,5,12,0,2
100,35,482,4,4,3,87,3,2,3,4249,2690,1,5,1,2,0,9,3,3,9,6,1,1,0,2
101,34,404,2,4,3,98,3,2,4,6687,6163,1,5,1,4,0,14,2,4,14,11,4,11,0,2
102,35,200,18,2,3,60,3,3,4,9362,19944,2,5,1,3,0,10,2,3,2,2,2,2,0,4
103,31,182,8,5,1,93,3,4,2,16422,8847,3,5,1,3,0,9,3,4,3,2,1,0,0,2
104,31,1445,1,5,3,100,4,3,2,7446,8931,1,5,1,1,0,10,2,3,10,8,4,7,0,2
105,29,115,13,3,1,51,3,2,2,5765,17485,5,5,1,1,0,7,4,1,5,3,0,0,0,4
106,33,1099,4,4,1,82,2,1,2,3838,8192,8,5,1,4,0,8,5,3,5,4,0,2,0,1
107,38,888,10,4,3,71,3,2,3,6077,14814,3,5,1,3,0,10,2,3,6,3,1,2,0,2
108,38,1245,14,3,3,80,3,2,2,9924,12355,0,5,1,4,1,10,3,3,9,8,7,7,0,1
109,35,819,18,5,2,48,4,2,1,5208,26312,1,5,1,4,0,16,2,3,16,15,1,10,0,1
110,37,1470,10,3,2,71,3,1,2,3936,9953,1,5,1,1,1,8,2,1,8,4,7,7,0,2
111,29,469,10,3,3,42,2,2,3,5869,23413,9,5,1,3,0,8,2,3,5,2,1,4,0,3
112,36,311,7,3,1,77,3,1,2,2013,10950,2,5,1,3,0,15,4,3,4,3,1,3,0,2
113,31,1112,5,4,1,67,3,2,4,5476,22589,1,5,1,1,2,10,2,3,10,0,0,2,0,3
114,38,1153,6,2,4,40,2,1,3,3702,16376,1,5,1,2,1,5,3,3,5,4,0,4,0,1
115,31,311,20,3,2,89,3,2,3,4197,18624,1,5,1,1,1,10,2,3,10,8,0,2,0,4
116,35,219,16,2,4,44,2,2,2,4788,25388,0,5,1,4,0,4,2,3,3,2,0,2,0,2
117,31,1079,10,2,3,86,3,2,4,6583,20115,2,5,1,4,1,8,2,3,5,2,1,4,0,3
118,35,1224,7,4,3,55,3,2,4,5204,13586,1,5,1,4,0,10,2,3,10,8,0,9,0,2
119,31,754,26,4,1,63,3,2,4,5617,21075,1,5,1,3,0,10,4,3,10,7,0,8,0,4
120,38,1444,1,4,4,88,3,1,2,2991,5224,0,5,1,2,1,7,2,3,6,2,1,2,0,0
121,38,345,10,2,1,100,3,2,4,5343,5982,1,5,1,3,1,10,1,3,10,7,1,9,0,2
122,32,977,2,3,4,45,3,2,2,5470,25518,0,7,1,3,2,10,4,2,9,5,1,6,0,2
123,30,793,16,1,2,33,3,1,4,2862,3811,1,6,1,2,1,10,2,2,10,0,0,8,0,4
124,33,501,15,2,2,95,3,2,4,4878,21653,0,7,1,1,1,10,6,3,9,7,8,1,0,3
125,37,1252,19,2,1,32,3,3,2,7642,4814,1,7,1,4,0,10,2,3,10,0,0,9,0,4
126,31,1060,1,3,4,54,3,1,2,2302,8319,1,5,1,1,0,3,2,4,3,2,2,2,0,1
127,36,1266,10,4,2,63,2,2,3,5673,6060,1,7,1,1,1,10,4,3,10,9,1,7,0,1
128,33,924,2,3,3,78,3,1,4,2496,6670,4,5,1,4,0,7,3,3,1,1,0,0,0,1
129,38,903,2,3,3,81,3,2,2,4855,7653,4,5,1,1,2,7,2,3,5,2,1,4,0,0
130,33,1146,25,3,2,82,3,2,3,4539,4905,1,6,1,1,1,10,3,2,10,7,0,1,0,4
131,38,240,2,4,1,75,4,2,1,5980,26085,6,6,1,4,0,17,2,3,15,7,4,12,0,1
132,31,444,5,3,4,84,3,1,2,2789,3909,1,5,1,3,1,2,5,2,2,2,2,2,0,2
133,37,142,9,4,1,69,3,3,2,8834,24666,1,7,1,4,1,9,6,3,9,5,7,7,0,1
134,30,979,15,2,3,94,2,3,1,7140,3088,2,5,1,1,1,12,2,3,7,7,1,7,0,2
135,34,735,3,1,4,75,2,2,4,8103,16495,3,6,1,3,0,9,3,2,4,2,0,1,0,3
136,30,1012,5,4,2,75,2,1,4,3761,2373,9,6,1,2,1,10,3,2,5,4,0,3,0,2
137,33,587,10,1,1,38,1,1,4,3408,6705,7,7,1,1,3,8,2,3,4,3,1,3,0,3
138,30,1427,2,1,2,35,2,1,4,2720,11162,0,7,1,4,0,6,3,3,5,3,1,2,0,2
139,29,136,1,3,1,89,3,2,1,5373,6225,0,6,1,1,1,6,5,2,5,3,0,2,0,2
140,31,1276,2,1,4,59,1,1,4,1129,17536,1,5,1,3,3,1,4,3,1,0,0,0,0,3
141,38,827,1,4,2,33,4,2,4,7625,19383,0,7,1,3,0,10,4,2,9,7,1,8,0,2
142,35,982,1,4,4,58,2,1,3,2258,16340,6,6,1,2,1,10,2,3,8,0,1,7,0,2
143,38,268,2,5,4,92,3,1,3,3057,20471,6,7,1,2,1,6,0,1,1,0,0,1,0,2
144,38,573,6,3,2,79,1,2,4,5329,15717,7,6,1,4,3,17,3,3,13,11,1,9,0,3
145,33,1076,3,3,1,70,3,1,1,3348,3164,1,5,1,1,0,10,3,3,10,8,9,7,0,0
146,32,585,10,3,1,56,3,1,3,3433,17360,6,7,1,1,1,10,3,2,5,2,1,3,0,3
147,32,334,5,2,1,80,4,1,2,3298,15053,0,6,1,4,2,7,5,2,6,2,0,5,0,1
148,33,827,1,4,3,84,4,2,2,5488,20161,1,7,1,1,1,6,2,3,6,5,1,2,0,2
149,31,616,12,3,4,41,3,2,4,5855,17369,0,5,1,3,2,10,2,1,9,7,8,5,0,4
150,36,1302,6,4,1,80,4,2,1,5562,19711,3,7,1,4,1,9,3,3,3,2,0,2,0,1
151,32,267,29,4,3,49,2,1,2,2837,15919,1,7,1,3,0,6,3,3,6,2,4,1,0,4
152,30,945,9,3,2,89,3,1,4,1081,16019,1,7,1,3,0,1,3,2,1,0,0,0,0,4
153,37,571,10,1,4,82,3,1,1,2782,19905,0,7,1,2,2,6,3,2,5,3,4,3,0,1
154,29,224,1,4,1,100,2,1,1,2362,7568,6,7,1,3,0,11,2,1,9,7,0,7,0,1
155,37,1319,6,3,3,51,4,2,1,5974,17001,4,7,1,1,2,13,2,3,7,7,6,7,0,1
156,35,619,1,3,2,85,3,2,3,4717,18659,9,5,1,3,0,15,2,3,11,9,6,9,0,2
157,34,699,6,1,2,83,3,1,1,2960,17102,2,5,1,3,0,8,2,3,4,2,1,3,0,0
158,29,428,9,3,2,52,1,1,2,2760,14630,1,7,1,3,0,2,3,3,2,2,2,2,0,2
159,35,1490,11,4,4,43,3,1,3,2660,20232,7,5,1,3,1,5,3,3,2,2,2,2,0,2
160,29,805,1,2,2,36,2,1,1,2319,6689,1,5,1,4,1,1,1,3,1,0,0,0,0,1
161,38,693,7,3,4,57,4,1,3,2610,15748,1,5,1,4,3,4,2,3,4,2,0,3,0,2
162,33,832,5,4,3,63,2,1,4,2911,14776,1,7,1,3,1,2,2,2,2,2,0,2,0,3
163,29,352,6,1,4,87,2,1,2,2804,15434,1,5,1,4,0,1,3,3,1,0,0,0,0,2
164,36,796,12,5,4,51,2,3,4,8858,15669,0,5,1,2,0,15,2,2,14,8,7,8,0,4
165,38,653,29,5,4,50,3,2,4,2406,5456,1,5,1,4,0,10,2,3,10,3,9,9,0,5
166,34,970,8,2,2,96,3,2,3,6142,7360,3,5,1,4,0,10,2,3,5,1,4,3,0,2
167,33,1198,1,4,3,100,2,1,1,2799,3339,3,5,1,2,0,6,1,3,3,2,0,2,0,1
168,35,583,25,4,3,57,3,3,3,10388,6975,1,5,1,3,1,16,3,2,16,10,10,1,0,5
169,34,943,9,3,4,86,3,3,4,8500,5494,0,5,1,4,1,10,0,2,9,7,1,6,0,4
170,38,508,6,4,1,72,2,2,3,5321,14284,2,5,1,4,1,10,1,3,8,3,7,7,0,2
171,42,691,8,4,3,48,3,2,2,6825,21173,0,5,1,4,1,10,2,3,9,7,4,2,0,2
172,40,1395,26,3,2,54,3,2,2,5605,8504,1,5,1,1,1,20,2,3,20,7,2,13,0,3
173,40,630,4,4,3,67,2,3,4,10855,8552,7,5,1,1,1,15,2,2,12,11,2,11,0,3
174,42,532,4,2,3,58,3,5,4,19232,4933,1,5,1,4,0,22,3,3,22,17,11,15,0,2
175,45,252,1,3,3,70,4,5,4,19202,15970,0,5,1,3,1,25,2,3,24,0,1,7,0,2
176,42,269,2,3,4,56,2,1,1,2593,8007,0,5,1,3,1,10,4,3,9,6,7,8,0,1
177,47,1482,5,5,4,42,3,5,3,18300,16375,4,5,1,2,1,21,2,3,3,2,1,1,0,3
178,42,544,2,1,3,52,3,1,3,2696,24017,0,5,1,3,1,4,5,3,3,2,1,0,0,2
179,43,982,12,3,1,59,2,4,2,14336,4345,1,5,1,3,1,25,3,3,25,10,3,9,0,3
180,42,1368,28,4,4,88,2,2,4,4523,4386,0,5,1,4,3,7,4,4,6,5,0,4,0,5
181,46,1034,18,1,1,86,3,3,3,10527,8984,5,5,1,4,0,28,3,2,2,2,1,2,0,3
182,48,1236,1,4,4,40,2,4,1,15402,17997,7,5,1,1,1,21,3,1,3,2,0,2,0,0
183,44,1112,1,4,1,50,2,2,3,5985,26894,4,5,1,2,0,10,1,4,2,2,0,2,0,2
184,39,408,2,4,4,80,2,2,3,4553,20978,1,5,1,1,0,20,4,3,20,7,11,10,0,2
185,47,202,2,2,3,33,3,4,4,16752,12982,1,5,1,3,1,26,3,2,26,14,3,0,0,3
186,43,1082,27,3,3,83,3,3,1,10820,11535,8,5,1,3,1,18,1,3,8,7,0,1,0,3
187,39,203,2,3,1,84,3,4,4,12169,13547,7,5,1,4,3,21,4,3,18,7,11,5,0,3
188,41,167,12,4,2,46,3,1,4,4766,9051,3,5,1,1,1,6,4,3,1,0,0,0,0,4
189,44,1097,10,4,3,96,3,1,3,2936,10826,1,5,1,3,0,6,4,3,6,4,0,2,0,2
190,48,969,2,2,4,76,4,1,2,2559,16620,5,5,1,3,0,7,4,2,1,0,0,0,0,1
191,44,1099,5,3,2,88,3,5,2,18213,8751,7,5,1,3,1,26,5,3,22,9,3,10,0,2
192,39,524,18,2,1,32,3,2,3,4534,13352,0,5,1,1,0,9,6,3,8,7,1,7,0,4
193,48,855,4,3,4,54,3,3,4,7898,18706,1,5,1,3,0,11,2,3,10,9,0,8,0,3
194,40,663,9,4,3,81,3,2,3,3975,23099,3,5,1,3,2,11,2,4,8,7,0,7,0,2
195,46,377,9,3,1,52,3,3,4,10096,15986,4,5,1,1,1,28,1,4,7,7,4,3,0,4
196,48,1221,7,3,3,96,3,2,1,5486,24795,4,5,1,1,3,15,3,3,2,2,2,2,0,2
197,40,218,8,1,4,55,2,3,2,13757,25178,2,5,1,3,1,16,5,3,9,8,4,8,0,0
198,39,1462,6,3,4,38,4,3,3,8237,4658,2,5,1,1,1,11,3,3,7,6,7,6,0,3
199,44,602,1,5,1,37,3,2,4,5743,10503,4,5,1,3,0,14,3,3,10,7,0,2,0,2
200,48,708,7,2,4,95,3,1,3,2655,11740,2,5,1,3,2,19,3,3,9,7,7,7,0,2
201,47,1093,9,3,3,82,1,4,3,12936,24164,7,5,1,3,0,25,3,1,23,5,14,10,0,3
202,45,1005,28,2,4,48,2,4,2,16704,17119,1,5,1,3,0,21,2,3,21,6,8,6,0,4
203,47,543,2,4,3,87,3,2,2,4978,3536,7,5,1,4,1,4,3,1,1,0,0,0,0,1
204,40,1137,1,4,1,98,3,4,1,16823,18991,2,5,1,1,1,22,3,3,19,7,11,16,0,0
205,42,300,2,3,1,56,3,5,3,18880,17312,5,5,1,1,0,24,2,2,22,6,4,14,0,3
206,41,930,3,3,3,57,2,2,2,8938,12227,2,5,1,3,1,14,5,3,5,4,0,4,0,1
207,47,983,2,2,1,65,3,2,4,5070,7389,5,7,1,3,3,20,2,3,5,0,0,4,0,2
208,42,1142,8,3,4,81,3,1,3,3968,13624,4,7,1,4,0,8,3,3,0,0,0,0,0,1
209,45,1268,4,2,3,30,3,2,1,5006,6319,4,5,1,1,1,9,3,4,5,4,0,3,0,1
210,41,1283,5,5,2,90,4,1,3,2127,5561,2,6,1,1,0,7,5,2,4,2,0,3,0,3
211,42,622,2,4,3,81,3,2,4,4089,5718,1,7,1,2,2,10,4,3,10,2,2,2,0,3
212,44,621,15,3,1,73,3,3,4,7978,14075,1,5,1,4,1,10,2,3,10,7,0,5,0,4
213,47,703,14,4,4,42,3,2,1,4960,11825,2,6,1,4,0,20,2,3,7,7,1,7,0,2
214,43,559,10,4,3,82,2,2,3,5257,6227,1,5,1,2,1,9,3,4,9,7,0,0,0,2
215,39,443,8,1,3,48,3,1,3,3755,17872,1,5,1,1,1,8,3,3,8,3,0,7,0,1
216,41,465,14,3,1,56,3,1,3,2451,4609,4,6,1,1,1,13,2,3,9,8,1,8,0,2
217,44,661,9,2,2,61,3,1,1,2559,7508,1,7,1,4,0,8,0,3,8,7,7,1,0,2
218,39,1383,2,3,4,42,2,2,4,5204,7790,8,5,1,3,2,13,2,3,5,4,0,4,0,3
219,43,957,28,3,2,72,4,1,3,4739,16090,4,6,1,4,0,18,2,3,3,2,1,2,0,4
220,48,626,1,2,1,98,2,3,3,5381,19294,9,7,1,4,0,23,2,3,1,0,0,0,0,1
221,44,1459,10,4,4,41,3,2,4,6465,19121,2,7,1,4,0,9,5,4,4,2,1,3,0,3
222,42,933,19,3,3,57,4,1,3,2759,20366,6,6,1,4,0,7,2,3,2,2,2,2,0,4
223,41,1102,1,2,2,94,3,2,4,5993,19479,8,5,1,1,0,8,0,1,6,4,0,5,0,1
224,46,150,2,4,4,60,3,2,4,7379,17433,2,5,1,3,1,12,3,2,6,3,1,4,0,2
225,42,532,29,2,1,92,3,2,3,4556,12932,2,5,1,2,1,19,3,3,5,4,0,2,0,5
226,46,1450,15,2,4,52,3,5,2,19081,10849,5,5,1,1,1,25,2,3,4,2,0,3,0,4
227,47,1176,26,4,4,98,3,5,3,19658,5220,3,5,1,3,1,27,2,3,5,2,1,0,0,4
228,39,722,24,1,2,60,2,4,4,12031,8828,0,5,1,1,1,21,2,2,20,9,9,6,0,3
229,53,1282,5,3,3,58,3,5,3,19094,10735,4,5,1,4,1,26,3,2,14,13,4,8,0,2
230,56,1400,7,3,4,49,1,3,4,7260,21698,4,5,1,1,0,37,3,2,6,4,0,2,0,2
231,50,809,12,3,3,77,3,3,4,9208,6645,4,5,1,4,0,16,3,3,2,2,2,1,0,3
232,53,1084,13,2,4,57,4,2,1,4450,26250,1,5,1,3,2,5,3,3,4,2,1,3,0,1
233,50,854,1,4,4,68,3,5,4,19517,24118,3,5,1,3,1,32,3,2,7,0,0,6,0,3
234,51,833,1,3,3,96,3,1,4,2723,23231,1,5,1,2,0,1,0,2,1,0,0,0,0,3
235,49,636,10,4,3,35,3,5,1,18665,25594,9,5,1,4,0,22,4,3,3,2,1,2,0,1
236,57,593,1,4,4,88,3,2,3,6755,2967,2,5,1,3,0,15,2,3,3,2,1,2,0,2
237,54,821,5,2,1,86,3,5,1,19406,8509,4,5,1,3,1,24,4,2,4,2,1,2,0,1
238,56,906,6,3,3,86,4,4,1,13212,18256,9,5,1,4,3,36,0,2,7,7,7,7,0,2
239,54,548,8,4,3,42,3,2,3,3780,23428,7,5,1,3,0,19,3,3,1,0,0,0,0,3
240,50,1246,3,3,1,99,3,5,2,18200,7999,1,5,1,3,1,32,2,3,32,5,10,7,0,1
241,50,1207,28,1,4,74,4,1,3,3221,3297,1,5,1,3,3,20,3,3,20,8,3,8,0,3
242,56,832,9,3,3,81,3,4,4,11103,20420,7,5,1,3,0,30,1,2,10,7,1,1,0,2
243,50,881,2,4,1,98,3,4,1,17924,4544,1,5,1,4,1,31,3,3,31,6,14,7,0,1
244,54,1441,17,3,3,56,3,3,3,10739,13943,8,5,1,3,1,22,2,3,10,7,0,8,0,3
245,50,1464,2,4,2,62,3,5,3,19237,12853,2,5,1,4,1,29,2,2,8,1,7,7,0,2
246,50,1322,28,3,4,43,3,4,1,16880,22422,4,5,1,2,0,25,2,3,3,2,1,2,0,2
247,51,770,5,3,3,84,3,4,2,14026,17588,1,5,1,2,1,33,2,3,33,9,0,10,0,2
248,51,541,2,3,2,52,3,3,2,10596,15395,2,5,1,2,0,14,5,3,4,2,3,2,0,1
