,BusinessTravel,Department,EducationField,Gender,JobRole,MaritalStatus,OverTime,HowToEmploy
50,Travel_Rarely,Sales,Marketing,Male,Sales Representative,Divorced,No,agent_C
51,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Single,No,agent_C
52,Travel_Rarely,Sales,Medical,Male,Sales Executive,Divorced,No,agent_C
53,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Divorced,No,agent_C
54,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Divorced,No,agent_C
55,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Single,No,New_graduate_recruitment
56,Travel_Frequently,Sales,Life Sciences,Female,Sales Executive,Single,No,agent_B
57,Travel_Rarely,Research & Development,Life Sciences,Female,Manager,Married,No,intern
58,Travel_Frequently,Research & Development,Life Sciences,Female,Research Scientist,Married,Yes,New_graduate_recruitment
59,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Divorced,No,agent_A
60,Travel_Rarely,Research & Development,Life Sciences,Female,Manufacturing Director,Divorced,No,agent_A
61,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single,Yes,New_graduate_recruitment
62,Travel_Rarely,Research & Development,Life Sciences,Female,Research Director,Single,No,agent_A
63,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Married,Yes,New_graduate_recruitment
64,Non-Travel,Research & Development,Medical,Male,Laboratory Technician,Divorced,No,New_graduate_recruitment
65,Travel_Frequently,Research & Development,Medical,Female,Laboratory Technician,Single,No,New_graduate_recruitment
66,Travel_Rarely,Sales,Medical,Male,Sales Executive,Married,No,agent_A
67,Travel_Rarely,Research & Development,Technical Degree,Female,Research Scientist,Single,Yes,New_graduate_recruitment
68,Travel_Rarely,Sales,Life Sciences,Female,Sales Representative,Married,No,New_graduate_recruitment
69,Travel_Frequently,Research & Development,Medical,Male,Manufacturing Director,Divorced,No,New_graduate_recruitment
70,Travel_Frequently,Research & Development,Medical,Male,Laboratory Technician,Single,No,New_graduate_recruitment
71,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Married,No,New_graduate_recruitment
72,Travel_Rarely,Sales,Technical Degree,Male,Sales Executive,Married,No,agent_A
73,Travel_Frequently,Research & Development,Life Sciences,Female,Manager,Married,No,New_graduate_recruitment
74,Travel_Rarely,Sales,Technical Degree,Female,Sales Executive,Married,Yes,New_graduate_recruitment
75,Travel_Rarely,Research & Development,Other,Male,Laboratory Technician,Married,Yes,New_graduate_recruitment
76,Travel_Frequently,Sales,Medical,Male,Sales Executive,Married,No,direct_recruting
77,Travel_Rarely,Sales,Technical Degree,Female,Sales Executive,Single,No,New_graduate_recruitment
78,Non-Travel,Sales,Other,Female,Sales Executive,Married,No,New_graduate_recruitment
79,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,Yes,New_graduate_recruitment
80,Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Divorced,Yes,New_graduate_recruitment
81,Travel_Rarely,Sales,Life Sciences,Male,Sales Representative,Single,No,New_graduate_recruitment
82,Non-Travel,Research & Development,Life Sciences,Female,Healthcare Representative,Divorced,No,New_graduate_recruitment
83,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Single,No,New_graduate_recruitment
84,Travel_Rarely,Research & Development,Medical,Male,Research Director,Married,No,agent_A
85,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Single,No,New_graduate_recruitment
86,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Divorced,No,New_graduate_recruitment
87,Travel_Rarely,Human Resources,Human Resources,Male,Human Resources,Divorced,Yes,New_graduate_recruitment
88,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Married,Yes,New_graduate_recruitment
89,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Married,No,New_graduate_recruitment
90,Travel_Rarely,Sales,Other,Male,Sales Executive,Divorced,No,direct_recruting
91,Non-Travel,Sales,Life Sciences,Male,Manager,Single,No,agent_A
92,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Married,Yes,New_graduate_recruitment
93,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Divorced,No,New_graduate_recruitment
94,Travel_Frequently,Sales,Marketing,Male,Sales Executive,Divorced,No,New_graduate_recruitment
95,Travel_Frequently,Research & Development,Life Sciences,Male,Manufacturing Director,Single,No,New_graduate_recruitment
96,Non-Travel,Sales,Marketing,Female,Sales Executive,Married,Yes,New_graduate_recruitment
97,Travel_Rarely,Research & Development,Life Sciences,Male,Healthcare Representative,Divorced,Yes,New_graduate_recruitment
98,Travel_Frequently,Human Resources,Life Sciences,Male,Human Resources,Married,No,New_graduate_recruitment
99,Travel_Rarely,Research & Development,Life Sciences,Female,Manufacturing Director,Single,Yes,New_graduate_recruitment
100,Travel_Frequently,Research & Development,Life Sciences,Male,Research Scientist,Single,Yes,New_graduate_recruitment
101,Travel_Rarely,Research & Development,Technical Degree,Female,Healthcare Representative,Single,No,New_graduate_recruitment
102,Travel_Frequently,Research & Development,Life Sciences,Male,Manufacturing Director,Single,No,New_graduate_recruitment
103,Travel_Rarely,Research & Development,Life Sciences,Female,Research Director,Single,No,New_graduate_recruitment
104,Travel_Frequently,Research & Development,Life Sciences,Female,Manufacturing Director,Single,No,agent_A
105,Travel_Frequently,Sales,Technical Degree,Female,Sales Executive,Single,No,New_graduate_recruitment
106,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Married,No,New_graduate_recruitment
107,Travel_Frequently,Human Resources,Human Resources,Male,Human Resources,Married,No,New_graduate_recruitment
108,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Married,No,direct_recruting
109,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,No,agent_A
110,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Married,No,New_graduate_recruitment
111,Travel_Rarely,Sales,Medical,Male,Sales Executive,Single,No,agent_A
112,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single,No,New_graduate_recruitment
113,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Married,No,agent_A
114,Travel_Rarely,Research & Development,Other,Female,Laboratory Technician,Married,No,New_graduate_recruitment
115,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Divorced,No,New_graduate_recruitment
116,Travel_Rarely,Research & Development,Other,Female,Manufacturing Director,Married,Yes,New_graduate_recruitment
117,Travel_Rarely,Sales,Medical,Female,Sales Executive,Divorced,Yes,New_graduate_recruitment
118,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Married,Yes,agent_A
119,Travel_Frequently,Sales,Marketing,Male,Sales Executive,Married,Yes,New_graduate_recruitment
120,Travel_Frequently,Human Resources,Other,Male,Human Resources,Married,Yes,New_graduate_recruitment
121,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Married,No,New_graduate_recruitment
122,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Divorced,No,agent_B
123,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,No,agent_B
124,Travel_Rarely,Research & Development,Medical,Female,Healthcare Representative,Married,Yes,agent_B
125,Non-Travel,Sales,Medical,Male,Sales Executive,Single,Yes,agent_B
126,Travel_Frequently,Sales,Life Sciences,Female,Sales Representative,Single,Yes,agent_B
127,Travel_Rarely,Sales,Technical Degree,Female,Sales Executive,Married,Yes,agent_B
128,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Single,No,agent_B
129,Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Married,No,agent_B
130,Travel_Frequently,Sales,Medical,Female,Sales Executive,Married,No,agent_B
131,Travel_Frequently,Research & Development,Life Sciences,Female,Manufacturing Director,Single,Yes,agent_B
132,Travel_Frequently,Sales,Marketing,Female,Sales Representative,Divorced,No,agent_B
133,Non-Travel,Sales,Medical,Male,Sales Executive,Divorced,No,agent_B
134,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Divorced,No,agent_B
135,Travel_Rarely,Sales,Medical,Female,Sales Executive,Married,Yes,agent_B
136,Travel_Frequently,Research & Development,Life Sciences,Male,Research Scientist,Divorced,No,agent_B
137,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Divorced,No,agent_B
138,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Single,No,agent_B
139,Travel_Rarely,Research & Development,Life Sciences,Male,Healthcare Representative,Married,No,agent_C
140,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Divorced,Yes,agent_C
141,Travel_Rarely,Research & Development,Life Sciences,Female,Healthcare Representative,Single,No,agent_C
142,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Married,No,agent_C
143,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married,Yes,agent_C
144,Non-Travel,Research & Development,Medical,Female,Research Scientist,Divorced,Yes,agent_C
145,Travel_Frequently,Research & Development,Life Sciences,Male,Research Scientist,Single,Yes,agent_C
146,Travel_Frequently,Research & Development,Life Sciences,Male,Research Scientist,Married,No,agent_C
147,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced,Yes,agent_C
148,Travel_Frequently,Research & Development,Other,Female,Healthcare Representative,Married,Yes,agent_C
149,Travel_Rarely,Research & Development,Medical,Female,Healthcare Representative,Married,Yes,agent_C
150,Travel_Frequently,Research & Development,Life Sciences,Male,Laboratory Technician,Married,Yes,agent_C
151,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Single,No,agent_C
152,Travel_Rarely,Sales,Medical,Male,Sales Representative,Single,No,agent_C
153,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Divorced,Yes,agent_C
154,Travel_Rarely,Research & Development,Technical Degree,Male,Research Scientist,Single,No,agent_C
155,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Divorced,Yes,agent_C
156,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,No,agent_C
157,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Single,No,agent_C
158,Travel_Rarely,Sales,Marketing,Female,Sales Representative,Single,No,agent_C
159,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Married,Yes,agent_C
160,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Married,Yes,agent_C
161,Travel_Frequently,Research & Development,Life Sciences,Male,Research Scientist,Divorced,No,agent_C
162,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Married,No,agent_C
163,Travel_Rarely,Human Resources,Medical,Male,Human Resources,Married,No,agent_C
164,Travel_Rarely,Research & Development,Medical,Female,Manufacturing Director,Single,No,agent_C
165,Travel_Frequently,Research & Development,Life Sciences,Female,Laboratory Technician,Single,No,intern
166,Travel_Rarely,Research & Development,Medical,Female,Healthcare Representative,Single,No,intern
167,Travel_Rarely,Research & Development,Other,Male,Research Scientist,Single,Yes,intern
168,Travel_Rarely,Research & Development,Medical,Female,Healthcare Representative,Divorced,Yes,intern
169,Travel_Rarely,Research & Development,Life Sciences,Male,Healthcare Representative,Divorced,No,intern
170,Travel_Frequently,Research & Development,Life Sciences,Male,Manufacturing Director,Married,No,intern
171,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,No,New_graduate_recruitment
172,Travel_Frequently,Research & Development,Medical,Female,Research Scientist,Divorced,No,New_graduate_recruitment
173,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,No,New_graduate_recruitment
174,Travel_Rarely,Research & Development,Technical Degree,Male,Manager,Married,No,New_graduate_recruitment
175,Travel_Rarely,Research & Development,Other,Male,Manager,Married,No,New_graduate_recruitment
176,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Divorced,Yes,New_graduate_recruitment
177,Travel_Rarely,Research & Development,Life Sciences,Male,Research Director,Married,No,New_graduate_recruitment
178,Travel_Rarely,Human Resources,Technical Degree,Male,Human Resources,Divorced,Yes,New_graduate_recruitment
179,Travel_Rarely,Research & Development,Life Sciences,Male,Research Director,Divorced,No,agent_A
180,Travel_Frequently,Research & Development,Technical Degree,Female,Healthcare Representative,Married,No,New_graduate_recruitment
181,Travel_Frequently,Research & Development,Medical,Female,Healthcare Representative,Married,No,direct_recruting
182,Travel_Rarely,Research & Development,Life Sciences,Female,Manager,Married,No,New_graduate_recruitment
183,Travel_Rarely,Human Resources,Life Sciences,Female,Human Resources,Single,No,New_graduate_recruitment
184,Travel_Rarely,Research & Development,Technical Degree,Female,Healthcare Representative,Single,No,direct_recruting
185,Travel_Rarely,Research & Development,Other,Female,Manager,Married,Yes,New_graduate_recruitment
186,Travel_Frequently,Research & Development,Life Sciences,Female,Manufacturing Director,Married,No,New_graduate_recruitment
187,Travel_Frequently,Research & Development,Life Sciences,Male,Healthcare Representative,Divorced,No,New_graduate_recruitment
188,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Married,Yes,agent_A
189,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single,Yes,New_graduate_recruitment
190,Travel_Rarely,Research & Development,Technical Degree,Male,Laboratory Technician,Single,No,New_graduate_recruitment
191,Travel_Rarely,Sales,Marketing,Male,Manager,Married,No,New_graduate_recruitment
192,Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Single,No,New_graduate_recruitment
193,Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Single,No,New_graduate_recruitment
194,Non-Travel,Research & Development,Other,Male,Laboratory Technician,Divorced,No,agent_A
195,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Divorced,No,New_graduate_recruitment
196,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Divorced,No,New_graduate_recruitment
197,Non-Travel,Research & Development,Medical,Male,Research Director,Divorced,No,New_graduate_recruitment
198,Travel_Rarely,Sales,Medical,Male,Sales Executive,Married,No,New_graduate_recruitment
199,Travel_Frequently,Human Resources,Human Resources,Male,Human Resources,Married,Yes,direct_recruting
200,Travel_Frequently,Sales,Medical,Female,Sales Representative,Married,Yes,New_graduate_recruitment
201,Travel_Frequently,Sales,Life Sciences,Male,Sales Executive,Married,No,New_graduate_recruitment
202,Travel_Rarely,Research & Development,Technical Degree,Female,Research Director,Single,No,New_graduate_recruitment
203,Non-Travel,Sales,Marketing,Male,Sales Executive,Married,No,New_graduate_recruitment
204,Travel_Rarely,Research & Development,Life Sciences,Male,Manager,Divorced,No,New_graduate_recruitment
205,Travel_Rarely,Research & Development,Life Sciences,Male,Manager,Married,No,New_graduate_recruitment
206,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Divorced,No,agent_A
207,Travel_Rarely,Research & Development,Medical,Female,Manufacturing Director,Divorced,No,agent_B
208,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single,No,agent_B
209,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Divorced,Yes,agent_B
210,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married,Yes,agent_B
211,Travel_Rarely,Research & Development,Life Sciences,Female,Healthcare Representative,Married,No,agent_B
212,Travel_Rarely,Research & Development,Medical,Female,Healthcare Representative,Married,No,agent_B
213,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Single,No,agent_B
214,Travel_Frequently,Research & Development,Life Sciences,Female,Laboratory Technician,Divorced,No,agent_B
215,Travel_Frequently,Research & Development,Life Sciences,Female,Laboratory Technician,Married,No,agent_B
216,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced,No,agent_C
217,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,Yes,agent_C
218,Travel_Rarely,Human Resources,Life Sciences,Female,Human Resources,Married,No,agent_C
219,Travel_Frequently,Research & Development,Medical,Female,Research Scientist,Single,No,agent_C
220,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single,Yes,agent_C
221,Travel_Rarely,Research & Development,Other,Male,Healthcare Representative,Married,Yes,agent_C
222,Travel_Frequently,Research & Development,Medical,Male,Research Scientist,Divorced,Yes,agent_C
223,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Single,Yes,agent_C
224,Travel_Rarely,Research & Development,Technical Degree,Male,Manufacturing Director,Divorced,No,agent_C
225,Travel_Frequently,Research & Development,Life Sciences,Female,Research Scientist,Divorced,No,intern
226,Travel_Rarely,Research & Development,Life Sciences,Male,Research Director,Married,No,intern
227,Travel_Rarely,Human Resources,Life Sciences,Female,Manager,Married,No,intern
228,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Married,No,intern
229,Travel_Rarely,Research & Development,Other,Female,Manager,Divorced,No,New_graduate_recruitment
230,Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Single,No,New_graduate_recruitment
231,Travel_Frequently,Sales,Marketing,Female,Sales Executive,Single,No,New_graduate_recruitment
232,Travel_Rarely,Research & Development,Medical,Female,Manufacturing Director,Divorced,No,New_graduate_recruitment
233,Travel_Rarely,Sales,Medical,Female,Manager,Divorced,No,New_graduate_recruitment
234,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,No,New_graduate_recruitment
235,Travel_Frequently,Research & Development,Life Sciences,Female,Research Director,Single,Yes,agent_A
236,Travel_Rarely,Research & Development,Medical,Male,Healthcare Representative,Married,No,New_graduate_recruitment
237,Travel_Rarely,Research & Development,Medical,Male,Research Director,Married,No,New_graduate_recruitment
238,Travel_Frequently,Sales,Life Sciences,Female,Sales Executive,Married,No,New_graduate_recruitment
239,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Single,No,direct_recruting
240,Travel_Frequently,Human Resources,Medical,Male,Manager,Married,No,New_graduate_recruitment
241,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Married,Yes,New_graduate_recruitment
242,Travel_Rarely,Research & Development,Medical,Male,Healthcare Representative,Married,No,agent_A
243,Non-Travel,Research & Development,Life Sciences,Male,Manager,Divorced,No,New_graduate_recruitment
244,Travel_Rarely,Research & Development,Technical Degree,Female,Manufacturing Director,Married,No,agent_A
245,Travel_Rarely,Research & Development,Medical,Male,Research Director,Married,Yes,New_graduate_recruitment
246,Travel_Rarely,Research & Development,Life Sciences,Female,Research Director,Married,Yes,New_graduate_recruitment
247,Travel_Rarely,Human Resources,Life Sciences,Male,Manager,Divorced,Yes,New_graduate_recruitment
248,Travel_Frequently,Sales,Marketing,Male,Sales Executive,Married,No,New_graduate_recruitment
249,Travel_Rarely,Research & Development,Technical Degree,Female,Manager,Married,No,New_graduate_recruitment
250,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Married,No,agent_A
251,Travel_Rarely,Research & Development,Technical Degree,Male,Laboratory Technician,Married,No,New_graduate_recruitment
252,Travel_Rarely,Research & Development,Other,Female,Laboratory Technician,Married,No,agent_B
253,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Single,No,agent_B
254,Travel_Frequently,Research & Development,Life Sciences,Female,Research Scientist,Single,No,agent_C
255,Non-Travel,Research & Development,Life Sciences,Male,Healthcare Representative,Divorced,Yes,agent_C
256,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Married,No,agent_C
257,Travel_Rarely,Research & Development,Medical,Male,Research Director,Single,No,intern
258,Travel_Rarely,Sales,Marketing,Male,Manager,Married,No,intern
259,Travel_Rarely,Research & Development,Medical,Female,Manufacturing Director,Divorced,Yes,intern
260,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Married,No,intern
261,Travel_Frequently,Research & Development,Medical,Female,Manufacturing Director,Married,Yes,intern
262,Travel_Frequently,Sales,Medical,Female,Sales Representative,Single,Yes,agent_C
263,Travel_Frequently,Research & Development,Life Sciences,Male,Healthcare Representative,Single,No,New_graduate_recruitment
264,Travel_Rarely,Research & Development,Other,Male,Laboratory Technician,Single,No,New_graduate_recruitment
265,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,No,New_graduate_recruitment
266,Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Married,Yes,New_graduate_recruitment
267,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Divorced,No,New_graduate_recruitment
268,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Married,No,New_graduate_recruitment
269,Travel_Rarely,Research & Development,Medical,Female,Manufacturing Director,Divorced,No,New_graduate_recruitment
270,Travel_Rarely,Research & Development,Technical Degree,Male,Manufacturing Director,Married,No,intern
271,Travel_Rarely,Human Resources,Human Resources,Male,Human Resources,Divorced,Yes,intern
272,Travel_Rarely,Research & Development,Technical Degree,Male,Laboratory Technician,Divorced,No,New_graduate_recruitment
273,Travel_Rarely,Research & Development,Medical,Male,Research Director,Married,Yes,New_graduate_recruitment
274,Travel_Frequently,Research & Development,Life Sciences,Male,Manager,Divorced,Yes,New_graduate_recruitment
275,Travel_Frequently,Sales,Medical,Female,Sales Representative,Married,No,New_graduate_recruitment
276,Travel_Rarely,Research & Development,Life Sciences,Female,Manufacturing Director,Married,Yes,New_graduate_recruitment
277,Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Divorced,No,New_graduate_recruitment
278,Travel_Rarely,Research & Development,Life Sciences,Male,Manager,Single,No,New_graduate_recruitment
279,Travel_Rarely,Sales,Technical Degree,Male,Sales Executive,Married,No,agent_A
280,Travel_Rarely,Human Resources,Medical,Male,Human Resources,Married,No,New_graduate_recruitment
281,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Divorced,No,New_graduate_recruitment
282,Travel_Frequently,Research & Development,Life Sciences,Female,Manufacturing Director,Married,No,New_graduate_recruitment
283,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,No,New_graduate_recruitment
284,Travel_Rarely,Sales,Life Sciences,Female,Manager,Single,Yes,agent_A
285,Travel_Rarely,Research & Development,Life Sciences,Male,Manager,Divorced,No,New_graduate_recruitment
286,Travel_Frequently,Sales,Life Sciences,Male,Sales Representative,Married,No,New_graduate_recruitment
287,Travel_Frequently,Research & Development,Life Sciences,Male,Laboratory Technician,Married,No,New_graduate_recruitment
288,Travel_Rarely,Research & Development,Medical,Female,Manager,Divorced,Yes,New_graduate_recruitment
289,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Single,Yes,direct_recruting
290,Travel_Rarely,Sales,Medical,Male,Sales Executive,Single,No,New_graduate_recruitment
291,Travel_Rarely,Research & Development,Medical,Female,Manufacturing Director,Single,No,New_graduate_recruitment
292,Travel_Rarely,Research & Development,Medical,Male,Research Director,Single,No,New_graduate_recruitment
293,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single,No,New_graduate_recruitment
294,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,No,New_graduate_recruitment
295,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single,No,New_graduate_recruitment
296,Travel_Frequently,Sales,Marketing,Male,Sales Representative,Married,No,agent_A
297,Travel_Rarely,Research & Development,Technical Degree,Male,Research Scientist,Married,No,New_graduate_recruitment
298,Travel_Frequently,Human Resources,Human Resources,Male,Human Resources,Single,No,intern
299,Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Married,Yes,New_graduate_recruitment
